$	dollar[s] ドル記号(通貨単位)
ab.	about / [times] at bat(野球で打者の)打数
abaci	abacusの複数形
aback	後へ,後ろに
abacus	そろばん
abaft	船尾に(へ) / …より船尾に
abalone	〈C〉アワビ;〈U〉アワビの身
abandon	〈車・船・家など〉'を'『捨て去る』,見捨てて去る(leave behind) / 〈希望・計画など〉'を'『断念する』;〈習慣など〉'を'『やめる』 / 勝手気まま,放縦
abandoned	見捨てられた(deserted) / 身を持ちくずした,捨てばちの
abandonment	見捨てること,遺棄 / 自暴自棄
abase	〈品位・地位など〉'を'落とす,下げる;〈自分〉'を'卑しめる
abasement	(品位・地位などの)低下,失墜;屈辱
abash	《通例受動態で用いて》…'を'恥じ入らせる;…'を'まごつかせる,面くらわせる
abate	…‘の'勢いを減らす,軽減する / (法律で)〈妨害など〉'を'排除する;〈効力など〉'を'停止する / 減る,やわらぐ,弱まる
abatement	軽減;緩和;〈C〉減価,減額
abatis	さかもぎ(逆茂木)(敵の侵入を防ぐためのとがったくい)
abattoir	畜殺場
abbacy	大修道院長の職(任期)
abbe	神父,師
abbess	女子大修道院長
abbey	〈C〉大修道院 / 《集合的に》(一院全体の)僧,尼僧 / 〈C〉(大修道院の一部であった)大寺院;《the A-》ウエストミンスター寺院(Westminster Abbey)
abbot	大修道院長
abbr.	abbreviated / abbreviation
abbreviate	…'を'『短縮する』,短くする,切り上げる
abbreviation	省略;〈C〉省略された語,略語,略字
ABC	〈U〉アルファベット / 〈U〉〈C〉《the ~》(物事の)初歩,入門,いろは《+『of』+『名』》
abdicate	〈地位・権利など〉'を'捨てる,‘から'退く / 〈王が〉(…から)退位する《+『from』+『名』》
abdication	退位,辞職
abdomen	腹部,腹;(昆虫の)腹部
abdominal	(比較変化なし)腹の,腹部の
abduct	…'を'誘かいする
abduction	誘かい
abductor	誘かい者
abeam	(海事用語で)(…の)真横に《+『of』+『名』》
abecedarian	初心者,初学者
abed	寝床に(in bed)
Abel	アベル(聖書で,AdamとEveの第2子;兄のカイン(Cain)に殺された)
aberrant	正道からはずれた,常軌を逸した;異常な
aberration	正道からはずれること,非行,異常 / (軽い)精神異常
abet	(特に悪い事に)…'を'扇動する,そそのかす《+『名』+『in』+『名』(do『ing』)》
abettor, abetter	扇動者
abeyance	一時的な中止(停止)
abhor	…'を'ひどくきらう,嫌悪する
abhorrence	大きらいなもの;〈U〉(…を)大きらいなこと《+『of』+『名』(doing)》
abhorrent	嫌悪(けんお)すべき,憎むべき;(…にとって)嫌悪すべき《+『to』+『名』》
abide	(ある状態に)とどまる;残る / 住む / 《まれ》…'を'じっと待つ / 《否定文・疑問文で》…'を'がまんする,‘に'耐える
abiding	永続的な,不変の
ability	〈U〉『能力』,力量 / 《複数形で》特殊な才能,優れた手腕
abject	(人・行為が)下劣な,あさましい / みじめな
abjection	卑しさ,卑劣,下劣
abjuration	宣誓して放棄すること
abjure	〈国籍・信仰・権利など〉'を'宣誓して捨てる
abl.	ablative
ablate	(手術・溶解・腐食などで)…'を'除去する / 除去される
ablation	切除,除去;融除 / 溶発(ロケットの先端が大気圏突入で溶解すること)
ablative	奪格の(ラテン語の格変化の一つ) / 奪格
ablaut	母音交替(sit,sat,seatのように語幹母音が変化すること)
ablaze	燃えたって / (…で)明るく輝いて《+『with』+『名』》
able	《補語にのみ用いて》《『be able to』 do》(…することが)『できる』 / 『有能な』,腕ききの,並々ならない
able [bodied] seaman	(英海軍の)上等水兵 / 熟練船員
able-bodied	体のじょうぶな,強壮な
abloom	開花して(した)({形}は補語にのみ用いる)
ablution	《複数形で》(宗教上の儀式としての)沐浴(もくよく)
ably	りっぱに,うまく
ABM	antiballistic missile 対弾道弾ミサイル
abnegate	〈権利など〉'を'放棄する
abnegation	権利(欲望など)の放棄;禁欲
abnormal	『異常な』,普通でない,規準をはずれた
abnormality	〈U〉異常,変則 / 〈U〉異常なもの(事件)
abo	《オーストラリア英語》《俗・禁句》原住民(aborigine)
aboard	(船・航空機・列車などに)『乗って』 / (船・航空機・列車など)の中へ(に)
abode	〈C〉住所,住居 / 〈U〉滞在,居住 / abideの過去・過去分詞
abolish	〈制度・習慣・規則など〉'を'廃止する,やめる
abolition	廃止,撤廃 / 奴隷制度廃止
abolitionary	廃止の,(特に,米国の)奴隷制度廃止の
abolitionism	(特に米国の)奴隷制度廃止論
abolitionist	廃止論者,(特に)奴隷制度廃止論者
abominable	憎むべき,いまわしい / 《話》実にいやな,ひどい
Abominable Snowman	(ヒマラヤに住むといわれる)雪男,イエティ
abominate	《文》…'を'忌みきらう;《話》…‘が'大きらい
abomination	〈U〉嫌悪,憎悪 / 〈C〉嫌悪するもの,いまわしいこと
abominator	嫌悪(憎悪)する人
aboriginal	土着の,もとからある / 原住民
aborigine	原住民;《通例複数形で》土着の動物(植物)
aborning	生まれかかって
abort	流産する / 〈動植物や器官などが〉十分に発育しない / 〈計画が〉失敗する,中止となる / 〈胎児〉'を'流産させる / 〈計画など〉'を'中止する
abortion	〈U〉〈C〉流産;妊娠中絶 / 〈U〉(計画などの)失敗;〈C〉(実現しなかった)案,計画
abortional	流産の / 挫折した
abortionist	(違法の)堕胎医
abortive	不成功の,失敗に終わった / 流産の / 発育不全の
abound	〈人・動物などが〉『たくさんいる』,多い
about	…『について』,に関して / 《おもに英》(また,おもに《米》『around』)…『の回りに(を)』,の周囲を(で) / 《おもに英》(また,おもに《米》『around』)…『のあちこちに(で,を)』,に点々と / 《おもに英》(また,おもに《米》『around』)…のあたりに(を),の近くに(near) / …『の身の回りに』,を手もとに / …の身辺に,のどこかに / …に従事して,にかかわって / (また《話》『around』)《時を表す名詞を伴って》だいたい…ころ(に) / (また《米》『around』)『周囲に』 / 《おもに英》(また,おもに《米》『around』)『あちこちに』,点々と / 《おもに英》(また,おもに《米》『around』)あたりに / 《しばしば数詞と共に用いて》『およそ』,約 / (また,おもに《米》『around』)ぐるっと回って,反対の位置(方向)に / 順番に,交互に / 《be動詞の後で》(病気・うわさが)広まって;(人の病気がよくなり)元気に動き回って;(ショーなどが)行われて
about-face	回れ右;180度の方向転換 / (方針などの)転換 / 回れ右をする / 方針(思想)などを転換する
above	《方向》《fly,go,riseなどの移動を表す動詞と結びついて》…『の上方へ』,より高いところへ / 《場所・位置》…『の上に』,の上方に,さらに高いところに(の) / …『の上流に(で)』,の上手(かみて)に,の北方に,のもっと先(遠く)に / 《数・量・程度》…『以上に』,にまさって / 《be動詞と結びついて》…『の力の及ばない』,を越えて(beyond) / 『上方に(を)』;頭上に高く;上流に / 天に,空に / (特に地位において)高位に / (本・ページの)『前に』,前文に / 前述の,上述の / 前述(上述)のこと
aboveboard	公明正大な,隠すことのない / 公明正大に,隠しごとをせずに
abovementioned	《名詞の前にのみ用いて》上記の,前述の
abp.	archbishop
abr.	abridged / abridgment
abracadabra	呪文 / たわごと
abrade	〈皮膚〉'を'擦傷する;〈毛・岩など〉'を'すり減らす
Abraham	アブラハム(聖書で,ヘブライ族の始祖とされる)
abrasion	〈C〉すり傷 / 〈U〉すりむくこと,摩滅
abrasive	すり減らす,すりむく / 研磨剤(金剛砂・軽石など)
abreast	並んで,並行して
abridge	〈本・話など〉'を'要約する;〈会合・授業など〉'を'短縮する / 〈権利・活動範囲など〉'を'制限する
abridgment, abridgement	〈U〉短縮(縮約)すること / 〈C〉縮約本,抄本
abroad	『海外へ(で)』,『外国に(で)』 / 《古》戸外へ / 『広く』;(うわさなどが)『広まって』
abrogate	〈法律・習慣など〉'を'廃止する,破棄する
abrogation	廃止,破棄
abrupt	『突然の』,不意の(sudden) / (坂道などが)けわしい,急な(steep) / (態度などが)ぶっきらぼうな
abruptly	突然に,不意に
abs.	absolute / absolutely
abscess	膿瘍(のうよう)(うんだできもの)
abscise	〈葉などが〉(枝から)離れる
abscissa	横座標
abscission	切除,切断;分離,離脱
abscond	(…から)〈犯人などが〉ひそかに逃亡する,行くえをくらます《+『from』+『名』》
absence	〈U〉〈C〉『るす』,不在;『欠席』;不在期間;(…を)欠席すること《+『from』+『名』》 / 〈U〉(…が)『ないこと』,(…の)欠如(lacking)《+『of』+『名』》
absence of mind	うわの空
absent	『欠席した』,るすの,不在の / (物が)欠けている,ない / 《名詞の前にのみ用いて》『放心した』 / (…から)〈人〉'を'欠席させる《+『名』+『from』+『名』》
absentee	欠席者,不在者 / 不在地主
absentee ballot	不在投票用紙
absentee vote	不在投票
absentee voter	不在投票者
absenteeism	(仕事・学校などの)常習的欠席,欠勤;長期欠席
absently	放心して
absentminded	放心した,ぼんやりしている / 忘れっぽい
absinthe, absinth	ニガヨモギ / アブサン,アブサント(ニガヨモギなどから作られる緑色の強い蒸留酒)
absolute	『まったくの』,完全な(complete) / 『絶対的な力を持った』,絶対の / 確かな,確固とした(certain) / 無条件の,制約のない / (文法で)独立の,単独の
absolute majority	絶対多数
absolute pitch	絶対音高(毎秒の震動数によって表す音の高さ) / 絶対音感(音高を聞き分け,歌い分ける能力)
absolute temperature	《the ~》絶対温度(Kで表す)
absolute value	絶対値
absolute zero	絶対零度(絶対温度の0K=‐273.15℃)
absolutely	『絶対的に』,完全に / 無条件に,断然 / 《話》(返事や合いの手として)そのとおり,まったく
absolution	(特に宗教で罪を告白して与えられる正式の)免罪 / (罰金・責任などの)免除《+『from』+『名』+(do『ing』)》
absolutism	専制政治
absolve	(特に宗教で)(…から)〈人〉'を'赦免する《+『名』〈人〉+『of』+『名』》 / (罰金・責任などから)〈人〉'を'免除する《+『名』〈人〉+『from』+『名』(do『ing』)》
absorb	〈液体〉'を'『吸収する』,吸い込む / 〈光・音・熱・エネルギーなど〉'を'吸収する / 〈思想など〉'を'取り入れる / 〈国・町・村など〉'を'併合する;(…に)…'を'併合する《+『名』+『into』+『名』》 / 〈心・注意・時間〉'を'『すっかり奪う』
absorbedly	夢中になって
absorbent	吸収性の,吸収する
absorbing	吸収する / 心を奪う,夢中にさせる
absorption	吸収,併合 / (…に)夢中になること,専心すること《+『in』+『名』》
abstain	(…を)控える,慎む《+『from』+『名』(do『ing』)》 / 棄権する
abstainer	節制する人,(特に)禁酒する人
abstemious	(飲食物・享楽を)慎む,節制する;(食事が)節約した
abstention	(…を)節制すること,控えること《+『from』+『名』(do『ing』)》 / (投票の)棄権
abstinence	(特に宗教的な理由による)(飲食の)禁欲,節制《+『from』+『名』(do『ing』)》
abstinent	節酒する;禁欲的な
abstr.	abstract
abstract	『抽象的な』 / 理論的な,観念的な / (美術において)抽象派の / 〈U〉抽象 / 〈C〉抜粋,摘要(summary) / 〈C〉抽象美術作品 / (いくつかのものから)〈ある概念〉'を'抽象する,抽出する《+『名』+『from』+『名』》 / 〈本・スピーチなど〉'を'要約する(summarize),抜粋する / (…から)〈金属など〉'を'抽出する,分離する《+『名』+『from』+『名』》
abstract expressionism	(絵画の)抽象表現主義
abstract noun	抽象名詞
abstracted	抽出された / ぼんやりした
abstraction	〈U〉抽象[作用] / 〈C〉抽象的概念 / 〈U〉(化学的な)抽出[作用] / 〈U〉放心[状態] / 〈C〉抽象美術の作品
abstruse	(教義・論理など)難解な,深遠な
absurd	『道理に合わない』(unreasonable);ばかばかしい(foolish)
absurdity	不合理,ばかばかしさ;〈C〉《しばしば複数形で》ばかげたこと
abt.	about
abundance	(あり余るほど)『たくさん』,『豊富』;《an~》たくさん(の…)《+『of』+『名』》
abundant	『豊富な』,十分な
abundantly	豊富に,たっぷり
abuse	〈U〉〈C〉(自分の,あるいは人の権利などの)『乱用』,悪用《+『of』+『名』》 / 〈C〉《しばしば複数形で》悪習,悪弊 / 〈U〉『悪口』,悪態,ののしり / 〈地位・権力など〉'を'『乱用する』,悪用する / …'を'『虐待する』(maltreat),酷使する / …'を'『ののしる』,‘の'悪口をいう
abusive	悪用された,乱用の / 虐待する / ののしる,口ぎたない
abut	(…に)接する,隣接する《+『on』(『upon』,『onto』)+『名』》 / (他の建物に)よりかかる《+『against』+『名』》
abutment	迫持(せりもち)受け(建物の弓形門(arch)の両端を受ける部分)
abuttal	《複数形で》境界[地]
abysmal	底知らずの / 《話》とても悪い
abyss	底知れぬほど深いもの,奈落
abyssal	深淵(えん)の;深海の
Abyssinia	アビシニア(アフリカ北東部の王国;Ethiopiaの旧名)
Ac	actiniumの化学記号
AC,A.C.,ac,a.c.	alternating current　・交流
acacia	アカシア属の木,《英》ハリエンジュ,ニセアカシア
acad.	academic / academy
academe	《A-》(古代アテネの)アカデミーの森 / 〈C〉(またacademia)大学[周辺]
academia	=academe
academic	学園の,大学の / (職業教育に対して)純粋学問の / 理論的な;非実際的な / 大学教師,大学生
academic freedom	学問の自由
academical	=academic / 《複数形で》大学の式服
academician	学士院会員,芸術院会員 / =academic / 伝統主義者
academicism	(美術・文学などの)伝統主義
academism	=academicism
academy	『学士院』,芸術院 / 《米》私立中等(高等)学校 / (特殊教育の)専門学校
Academy Award	アカデミー賞(米国で毎年最優秀映画・映画人に与えられる賞)
acanthus	アカンサス,ハアザミ / (建築物の柱頭の)アカンサス葉飾り
acc.	acceleration / account / accountant / accusative / accompanied [by] / according [to]
accede	(要求・提案などに)同意する,承認する(agree)《+『to』+『名』》 / (王位・財産などを)継承する;(公職などに)就任する《+『to』+『名』》
accelerando	(音楽の指示で)しだいに速く(速い)
accelerate	…‘の'速度を速める,加速する / 〈ある状態〉'を'早く起こさせる / 速くなる,速度を増す
acceleration	加速 / 加速度
acceleration line	(普通の道路から高速道路にはいるときの)加速車線
accelerator	加速装置;(自動車の)アクセル / (化学反応の)促進剤 / (またatom smasher)粒子加速機
accelerometer	(航空機などの)加速度計
accent	〈C〉〈U〉『アクセント』,『強勢』;アクセント記号 / 〈C〉(言葉の)なまり / 《複数形で》『口調』,音調(tone) / 〈C〉〈U〉強調,重視 / …‘に'アクセントをおく;…‘に'アクセント符号をつける / …'を'強調する,目立たせる
accentuate	〈語・音節〉‘に'アクセントをおく,'を'特に強く発音する / …'を'目立たせる,強調する
accentuation	アクセントをおくこと,アクセントのおき方 / 強調
accept	(喜んで)〈物〉'を'『受け取る』,〈事〉'を'受け入れる / 〈提案・決定など〉'を'受諾する,〈事態・運命など〉に従う;(特に)…‘に'しかたなく同意する / 〈弁解・説明・理論など〉'を'『認める』,容認する / 〈責任・任務など〉'を'『引き受ける』 / 〈人〉'を'受け入れる,仲間(身内)に入れる / 〈手形〉'を'引き受ける
acceptability	受け入れられること,受容性
acceptable	受け入れられる,認められる;人に喜ばれる
acceptance	〈U〉受け取ること,認めること,受け入れられていること;同意 / 〈U〉(手形の)引受け;〈C〉引受済み手形
acceptation	(語句の)一般に認められた意味
accepted	一般に認められた,受け入れられた
acceptor, accepter	受取人,受諾者 / 手形引受人
access	〈U〉(人・物・場所への)『接近』《+『to』+『名』》 / 〈C〉(…へ)接近する手段(方法)《+『to』+『名』》 / 〈U〉(…への)接近(入場)の権利(機会)《+『to』+『名』》 / 《an ~》《文》(病気の)突発;(怒り・激情の)爆発《+『of』+『名』》
accessibility	近づきやすいこと,手に入りやすいこと / 影響されやすいこと
accessible	(またget-at-able)近づきやすい,入りやすい,達しうる / 《補語にのみ用いて》(感情などに)動かされやすい,(…の)影響を受けやすい《+『to』+『名』》
accession	〈U〉(…へ)到達すること,(地位への)即位,就任《+『to』+『名』》 / 〈U〉(…への)加入,加盟《+『to』+『名』》 / 〈C〉(…に)追加される物《+『to』+『名』》
accessary	=accessory
accessory	《通例複数形で》(…への)『付属品』,アクセサリー《+『for』+『名』》 / (法律用語で)従犯者,犯人隠匿(いんとく)者 / 付属の / 従犯の
accidence	語形論,形態論(言語の語形変化など形態に関する学問)
accident	〈C〉『偶然』,偶発,めぐり合わせ / 〈C〉『事故』,災難
accident insurance	傷害保険
accident-prone	(普通の人より)事故を起こしやすい
accidental	『偶然の』,思いがけない / (音楽の)臨時記号
accidentally	偶然に,思いがけなく
acclaim	〈人〉‘に'かっさいする,'を'歓呼して迎える / 歓呼,かっさい
acclamation	〈C〉《複数形で》歓呼の声 / 〈U〉(賛成を表す)拍手,かっさい
acclimate	《米》〈人・生物〉'を'新しい環境(風土)に慣れさせる《+『名』+『to』+『名』(do『ing』)》
acclimation	新しい環境(風土)に慣れること,順応;順化
acclimatization	=acclimation
acclimatize	=acclimate
acclivity	《まれ》上り坂
accolade	〈C〉騎士(knight)の爵位授与式(国王が剣の背でその人の背を軽く打つ) / 〈U〉(一般に)賞賛,栄誉
accommodate	(必要なものを)〈人〉‘に'『便宜をはかる』,用だてる《+『名』〈人〉+『with』+『名』》 / 〈人〉'を'『宿泊させる』,収容する / (…に)…'を'『適応させる』,順応させる《+『名』+『to』+『名』》 / 〈争いなど〉'を'調停する
accommodating	人の世話をよくする,親切な / すぐ順応する,融通のきく
accommodation	〈U〉『宿泊』;《複数形で》(旅館などの)『宿泊設備』 / 〈C〉便宜,助け / 〈U〉(…への)『適応』,順応《+『to』+『名』》 / 〈C〉調停,和解
accompanied article	旅客と同じ飛行機で運ばれる荷物
accompaniment	伴うもの,付属する物 / 伴奏
accompanist	伴奏者
accompany	〈人など〉‘に'『同行する』,随行する,ついて行く(go with) / …‘に'『伴って起こる』;(…を)…‘に'伴わせる,添える《+『名』+『with』+『名』》 / 〈歌・歌手〉‘の'『伴奏をする』
accomplice	共犯者
accomplish	〈仕事・目的など〉'を'『成し遂げる』,仕上げる(perform)
accomplished	成し遂げられた,既成の / 教養(技術など)が備わった,熟達した(skilled)
accomplisher	完成する人
accomplishment	〈U〉完成,成就(じょうじゅ) / 〈C〉業績 / 《複数形で》教養,たしなみ,才芸
accord	(…と)『一致する』,調和する《+『with』+『名』(『wh-』節)》 / 〈許可・賞賛・歓迎など〉'を'与える / 〈U〉(…との)『一致』,調和(harmony)《+『with』+『名』》 / 〈C〉国際協定,講和 / 〈U〉〈C〉和音,協和音;(色の)調和
accordance	一致,調和,適合
accordant	《補語にのみ用いて》(…と)一致した,合致した《+『with』(『to』)+『名』》
according	従って
accordingly	『従って』,それだから,それゆえ(therefore) / 『それに応じて』,適宜に
accordion	アコーディオン,手風琴
accordionist	アコーディオン演奏者
accost	〈見知らぬ人〉‘に'近寄って話しかける
account	〈C〉『計算』,勘定 / 〈C〉『計算書』,勘定書;簿記 / 〈C〉(商売の)取引;(銀行の)口座 / 〈C〉『説明』,報告;記事 / 《文》〈U〉価値(value),重要性(importance) / 〈U〉根拠;理由 / 《『account』+『名』〈目〉+『形』(『名』,『過分』)〈補〉》(…と)…'を'考える,みなす(consider)
account book	会計簿
account executive	(広告業などの)渉外部長
accountable	(物事が)説明のつく / 《補語にのみ用いて》(…について)説明できる,責任を持てる《+『for』+『名』》
accountancy	会計係(計理士)の職務(業務)
accountant	会計係,会計士,計理士
accounting	会計,経理 / 会計学
accouter, accoutre	〈人〉‘に'特別の装備(服装)をさせる
accouterments, accoutrements	《複数形》(兵士の)装備(武器と軍服以外の装具)
accredit	《受動態で用いて》〈人〉'を'信任する;(…へ)〈人〉‘に'信任状を授けて派遣する《+『名』〈人〉+『to』(『at』)+『名』》 / (…に)〈物事〉'を'帰する《+『名』〈物事〉+『to』+『名』》;(物事を)…‘の'責任(原因)だとする《+『名』+『with』+『名』(do『ing』)》 / (基準・要求に合っているものとして)〈学校など〉'を'認可する
accredited	一般に認められた;公認の
accretion	〈U〉(付着・添加による)増大 / 〈C〉付加物,添加物
accrue	《文》(自然の結果として)生じる,発生する;〈利子が〉つく
acct.	account / accountant
acculturation	文化変容・(異文化との接触による)固有の文化の変容
accumulate	…'を'『蓄積する』,ためる / 『たまる』,ふえる
accumulation	〈U〉蓄積すること,ためること / 〈C〉蓄積した物
accumulative	蓄積する / 蓄財する;ためこみ主義の
accumulator	蓄財家,ためる人 / 《英》蓄電池(storage battery) / (電子計算機の)累算器
accuracy	『正確さ』,精密
accurate	『正確な』,的確な,精密な
accurately	正確に,精密に,綿密に
accursed,accurst	のろわれた / 憎むべき,いまわしい
accus.	accusative
accusation	〈C〉〈U〉(…を)告発(告訴,非難)すること《+『of』+『名』》,告発(非難)されること / 〈C〉(…の)罪状;…罪《+『of』+『名』》
accusative	(ギリシア・ラテン・ドイツ語の格変化で)対格の,(英語で)直接目的格の / 対格,直接目的格
accuse	(…の罪で)〈人〉'を'『告発する』,告訴する《+『名』〈人〉+『of』+『名』(do『ing』)》 / (…であると)〈人〉'を'『非難する』,責める《+『名』〈人〉+『of』+『名』(do『ing』)》
accused	告発(告訴)された / (特に)刑事被告人
accuser	告訴人,原告 / 非難者
accustom	(…に)〈人・自分・動物〉'を'『慣らす』,習慣づける《+『名』+『to』+『名』(do『ing』)》
accustomed	《名詞の前にのみ用いて》いつもの,例の / 《補語にのみ用いて》(…に)慣れた《+『to』+『名』(do『ing』)》
ace, Ace	(カード・ドミノ・さいころの)1,エース,Aの札 / (テニスなど球技で)サービスエース / 《話》(何かに)優れている人,ぴか一,エース;名撃墜手 / ぴか一の
acetonic	アセトンの
acerb	(味が)すっぱい(sour),苦い,渋い / (ことば・態度が)厳しい,しんらつな
acerbate	…'を'すっぱく(苦く)する / …'を'怒らせる
acerbity	〈U〉渋味,にがさ / 〈U〉〈C〉辛らつさ
acetanilide	アセトアニリド(解熱・鎮痛剤)
acetate	酢酸(さくさん)塩;アセテート(酢酸人造絹糸)
acetic	酢の,すっぱい
acetic acid	酢酸
acetone	アセトン(揮発・可燃性液体;ペンキなどの溶剤として用いる)
acetylcholine	アセチルコリン(神経を刺激し筋肉運動を起こす化合物)
acetylene	アセチレン[ガス]
acetylsalicylic acid	アセチルサリチル酸(aspirinの化学名)
ache	(継続的に鈍く)〈人が〉『痛みを感じる』,〈身体が〉痛む,うずく / 《話》切望する,心から願う / 《しばしば複合語を作って》(継続的な鈍い)『痛み』,うずき
achene	痩果(そうか)(タンポポ・キンポウゲの類の果実)
achievable	成就(じょうじゅ)(達成)できる
achieve	〈目標など〉'を'『達成する』,‘に'到達する / 〈勝利・名声・地位など〉'を'獲得する,勝ち取る
achievement	〈U〉(…の)『成就』(じょうじゅ),達成《+『of』+『名』》 / 〈U〉『業績』,功績,達成されたこと
achievement test	学力検査
Achilles	アキレス(Homer作のIliadに出てくるギリシア軍の勇将;右足首以外は不死身であったが,ここに矢を射られ戦死をとげたという.このため,「唯一の弱点」のことを『Achilles' heel』「アキレスのかかと」という.《米》では'(アポストロフィ)をつけない)
Achilles tendon	アキレス腱(けん)
achoo	《米》=atchoo
achromatic	無色の;色消しの
acid	酸性の / 酸味のある,すっぱい(sour) / (言葉・態度などが)厳しい,しんらつな / 酸 / すっぱいもの / 《俗》=LSD
acid rain	酸性雨
acid test	厳しい検査,吟味
acidhead	《米俗》LSDの常用者
acidify	…'を'すっぱくする;…'を'酸性化する / 酸化する
acidity	酸味;酸度
acidosis	酸性症,酸中毒(血液中のアルカリ濃度が異常に低い状態)
acidulate	…をすっぱくする,酸性化する
acidulated	(特に菓子・飲物などが)酸味を帯びた
acidulous	(味が)多少すっぱい / (言動が)しんらつな
ack.	acknowledge / acknowledgment
ackack	《通例複数形で》《現在まれ》高射砲;対空砲火
acknowledge	〈人が〉…'を'『認める』,承認する / 〈手紙・贈物など〉'を'受け取ったことを知らせる / 〈親切など〉‘に'礼を言う,感謝する
acknowledger	承認(認知)する人
acknowledgment, acknowledgement	〈U〉(…を)認めること,認めて感謝すること《+『of』+『名』》 / 〈C〉(手紙・贈物などの)受領の通知 / 〈U〉感謝,〈C〉感謝のしるし(言葉)
acme	《the ~》(…の)絶頂,極致(peak)《+『of』+『名』》
acne	にきび(pimple)
acolyte	(ローマカトリック教会の)侍祭 / (一般に)助手,補佐役;従者; (儀式での)侍者; 伴僧; 助手; 初心者
aconite	トリカブト(有毒性植物)
acorn	どんぐり(カシ・ナラなどの実)
acorn squash	(どんぐり形の)西洋カボチャ
acoustic	音響の;聴覚の / (特に楽器が電気的に増幅・変化されていない)自然音を出す
acoustics	《単数扱い》音響学 / 《複数扱い》(劇場などの)音響効果
acquaint	〈人〉‘に'『知らせる』,告げる
acquaintance	〈C〉(それほど親密ではない)『知り合い』,知人 / (またacquaintanceship)〈U〉《時にa~》( …を)『知っていること』,(…の)知識《+『with』+『名』》
acquaintanceship	=acquaintance 2
acquiesce	(…に)いやいやながら従う,黙従する《+『in』+『名』》
acquiescence	黙認,甘んじて受け入れること
acquiescent	黙認の,甘受する
acquirable	取得(習得)できる
acquire	(不断の努力・習慣などで)…'を'『習得する』,身につける / 〈財産・権利など〉'を'手に入れる,取得する
acquired taste	《通例単数形で》習い性となったもの,後天的な好み
